accuracy,consistency,conciseness,bertscore,Relevance,Informativeness,Understandability,Specificity,Engagement
0,0,70,0.71,61.62583871,61.78467311,54.90583289,57.19711311,67.23070258
66.67,100,100,0.76,69.51190533,73.11741111,66.75349078,63.94470789,74.11795822
66.67,100,100,0.72,61.98815951,71.60243756,69.91183707,70.47816611,74.14129036
42.86,50,100,0.71,64.02784862,47.09351409,59.26964104,47.58042233,51.48776437
100,0,90,0.71,72.22490444,67.61392518,65.96366547,59.28856022,64.72395144
66.67,100,100,0.83,75.58530422,67.57253922,70.430209,61.01376711,63.3502248
50,100,100,0.77,69.15372169,66.39623682,65.12934496,61.52905064,73.34639667
33.33,100,100,0.78,71.24764636,74.20153584,71.33042089,71.27690344,68.582522
75,100,100,0.79,73.68722933,68.83771298,71.35275778,60.19372411,72.92609
33.33,100,100,0.78,65.72215162,66.89601724,67.17495311,63.24422971,54.58168979
0,0,100,0.68,76.85408444,74.31456589,70.55171956,70.84071733,66.7144028
50,100,100,0.67,46.38027475,54.31861849,51.51866347,59.92921556,62.494516
50,100,90,0.66,67.17041427,76.71269267,64.40506256,66.62540827,65.5938316
33.33,100,100,0.77,78.25288911,74.77131793,73.38153956,69.59547211,77.73662178
66.67,100,100,0.78,78.88461222,75.08834836,72.65509102,67.52964458,78.20850533
25,100,90,0.69,70.61465689,73.35999449,69.84416876,57.90515498,70.86762033
66.67,100,100,0.71,75.7389706,72.52530178,65.22581118,64.68167409,68.59898211
66.67,100,80,0.78,61.58935156,58.24593202,50.26477498,53.20180244,57.58345653
0,0,90,0.7,67.72853889,65.41219142,54.70042447,45.97151024,55.23170016
25,100,100,0.68,60.3525566,72.671408,68.66893844,77.57206222,68.29542936
12.5,100,100,0.7,36.87585823,50.07643381,62.54533731,51.86806329,51.7921304
25,100,90,0.71,68.21919187,72.00304111,64.30596098,56.97920302,59.76045398
25,100,100,0.73,63.46140996,70.40016902,72.34866429,61.00947422,70.73528622
75,100,100,0.73,76.67794429,65.05245344,69.18800956,64.26104342,67.32708858
140,83.33,80,0.78,72.96088922,71.50851453,71.28386747,69.89587536,70.82186436
50,100,90,0.72,64.18009756,50.59622527,69.88036218,63.86029667,59.385772
100,100,90,0.81,77.15733511,73.17890984,63.7401486,45.18748897,65.03995113
33.33,100,90,0.69,70.1786976,72.82325033,62.12137758,69.25662836,59.733652
50,100,90,0.79,50.93398806,54.41375654,52.06973116,63.86478106,63.68703354
66.67,100,90,0.72,58.40150378,65.07031169,54.56852671,40.59572156,46.2214234
25,100,100,0.7,75.47534207,64.023397,63.39085011,52.01511573,57.58684367
33.33,100,100,0.75,63.60286678,52.49865244,56.32008583,56.61448498,56.12965664
66.67,100,100,0.73,61.20796431,48.83487369,58.35661356,48.03844309,62.17861099
40,100,90,0.75,71.26491133,70.84604356,70.30615698,68.95375689,68.66790584
28.57,100,90,0.74,70.17769289,65.43394351,63.25435644,59.31035804,64.82363062
66.67,100,100,0.69,61.24401562,66.09762847,71.3476592,62.48107869,49.45076869
25,100,20,0.69,56.58682289,55.62075311,57.61368838,60.79048969,49.87207742
66.67,100,100,0.77,57.68550567,51.34691071,63.90781809,55.79129531,61.02564556
125,75,90,0.69,75.18973956,70.42396156,69.09277867,66.32510762,76.01678998
100,100,100,0.79,69.939714,79.41943356,71.951562,78.05558789,56.68235658
33.33,100,40,0.73,54.42514505,51.45912502,58.41736489,68.03223142,57.87188378
25,100,100,0.8,77.043534,73.324867,70.112936,68.8916136,73.1767294
0,0,100,0.76,66.085378,64.49833856,68.53566067,60.73316384,70.7027186
50,100,100,0.72,70.49598204,76.512434,66.72057244,52.59348738,57.52784822
25,100,100,0.73,61.74330558,73.21571764,67.82442133,58.41684191,64.22637804
,,,,,,,,
45.7808,83,93.2,0.7331,66.29377037,65.75965591,65.58831557,62.822176,63.71007649
