accuracy,consistency,conciseness,bertscore,Relevance,Informativeness,Understandability,Specificity,Engagement
0,0,100,0.69,71.09612371,76.28426413,74.97142733,72.95304889,71.48362222
50,100,100,0.74,72.98561911,68.04062371,76.5693232,61.33451491,70.08388187
100,50,100,0.85,75.63015633,78.77862911,72.78938778,68.89397389,66.73657051
100,0,100,0.77,78.12182311,75.12507622,72.34453838,69.49458933,72.89574822
60,100,100,0.87,70.9865592,77.55020733,72.90780938,74.82257933,76.16123178
33.33,100,100,0.75,78.43147844,77.26256722,76.66773889,68.92420338,74.68846104
33.33,100,100,0.79,78.44507733,77.46323156,72.15328851,63.11948549,68.74431413
33.33,100,100,0.75,73.07034818,64.52232873,60.3157118,52.81287734,65.91403996
25,100,100,0.75,68.27853391,67.29725127,68.20779982,72.36978136,68.90633578
12.5,100,100,0.82,72.49287276,66.77154133,71.23872933,69.20525231,59.98686473
100,66.67,100,0.82,62.11574095,69.71587898,68.65008089,56.01943302,70.23875929
16.67,100,100,0.81,74.11815051,77.909968,74.36033,63.78096956,70.86893178
75,100,100,0.88,77.80685,78.78151733,78.78431956,70.83448213,70.36704613
40,100,100,0.79,78.09148251,74.07889724,73.55047013,68.16934436,73.58279387
75,50,100,0.79,73.51873467,76.28547444,74.45579722,71.96102733,73.90352289
33.33,100,100,0.79,78.83031533,72.08311844,77.57530156,67.868318,72.1716548
100,100,100,0.76,71.53899856,70.65232,69.1375698,64.08052822,67.68432511
75,50,100,0.83,67.84316007,71.02171689,65.69644089,68.75699962,75.69751444
33.33,100,100,0.75,69.09094191,71.02823909,64.32096284,55.30645933,66.36558996
25,100,100,0.7,78.70469356,74.63911518,60.21001962,69.5732468,71.38043529
33.33,100,100,0.75,73.80150711,67.98235878,68.20730749,63.429996,67.728553
66.67,0,100,0.74,73.94868893,74.94600587,75.07975711,64.17520809,71.89411216
60,100,100,0.77,77.89764122,71.77845222,69.04157504,66.20790367,71.36241378
20,100,100,0.75,65.21249316,66.18050291,67.11249267,74.71814873,71.93176969
33.33,100,100,0.73,73.80882467,69.68315596,63.94391964,62.1991515,66.35003609
0,0,100,0.74,76.49528829,73.28825164,64.54070567,55.47225851,66.17967071
66.67,0,100,0.77,67.6640132,72.19609278,66.02335082,57.12374486,67.80717016
25,100,100,0.78,77.18795689,67.97342707,72.47539671,66.23969924,64.50067462
33.33,100,100,0.85,69.16863593,72.65858422,76.59881844,66.67788873,72.71633844
33.33,100,100,0.75,74.86507742,72.91163467,75.90470209,66.79822756,63.21381228
75,50,100,0.81,72.92985058,74.94445618,74.80401778,72.29979616,76.09192089
33.33,100,100,0.75,73.51530111,67.87324756,72.65778987,59.99163971,65.76020756
75,0,100,0.68,69.25281409,72.20736191,58.44649102,60.81823271,63.64982444
75,50,100,0.76,71.82459562,73.68987118,56.53918576,59.00435571,58.1213727
,,,,,,,,
,,,,,,,,
48.8034,74.8334,98.8,0.776,72.75405363,72.2674086,70.48417015,65.99386429,70.225081
